oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
casa en venta en paraiso marina,11500000000.0,350.0,,4.0,23.2777811,-106.4522242,easybroker,2024-09-02 12:27:21.140990,mazatlan,32857142.85714286
casa en venta en altabrisa residencial 99,17500000.0,518.65,4.0,4.0,23.3054188557,-106.4780223478,easybroker,2024-09-02 12:27:21.140990,mazatlan,33741.44413380893
casa en preventa en altabrisa residencial,12500000.0,326.32,4.0,4.0,23.3054792,-106.4780693,easybroker,2024-09-02 12:27:21.140990,mazatlan,38305.957342485905
casa en preventa en altabrisa residencial 23,12500000.0,335.26,4.0,4.0,23.3054792,-106.4780693,easybroker,2024-09-02 12:27:21.140990,mazatlan,37284.495615343316
condominio en venta en vue centro historico,4256570.0,66.96,,,23.2018208,-106.4295291,easybroker,2024-09-02 12:27:21.140990,mazatlan,63568.84707287934
casa en venta en cerritos resort,19758404.0,637.0,3.0,3.0,23.2988273,-106.4826334,easybroker,2024-09-02 12:27:21.140990,mazatlan,31017.902668759813
las flores residencial,709701.0,,,,23.2460229,-106.4122529,easybroker,2024-09-02 12:27:21.140990,mazatlan,
punta del sol    sea  sand living,3200670.0,,2.0,2.0,23.3134849,-106.4772934,easybroker,2024-09-02 12:27:21.140990,mazatlan,
paseo atlantico condominios,2375000.0,,2.0,2.0,23.2823682,-106.4308853,easybroker,2024-09-02 12:27:21.140990,mazatlan,
olimpo residencial ciudad,4890000.0,,3.0,3.0,23.287683,-106.380744,easybroker,2024-09-02 12:27:21.140990,mazatlan,
hermosos departamentos en aura living,2830000.0,64.15,,2.0,23.2152533,-106.4180751,easybroker,2024-09-02 12:27:21.140990,mazatlan,44115.3546375682
departamento en turquesa mazatlan,3540000.0,83.0,2.0,2.0,23.3081285293,-106.4758875278,easybroker,2024-09-02 12:27:21.140990,mazatlan,42650.60240963855
venta casaparaiso mazatlan marina mazatlan,9800000.0,310.0,4.0,4.0,23.2616061,-106.4624777,easybroker,2024-09-02 12:27:21.140990,mazatlan,31612.90322580645
venta departamentothe o residencemazatlan,3300000.0,,,,23.2154516,-106.421467,easybroker,2024-09-02 12:27:21.140990,mazatlan,
preventa casala calma marina mzt  zona puerta al marmazatlan,7300000.0,,,,23.2815448,-106.4563298,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamento en venta en mazatlan sinaloa,6703579.0,126.7,3.0,3.0,23.2899881,-106.4707722,easybroker,2024-09-02 12:27:21.140990,mazatlan,52909.06866614049
departamento en venta en mazatlan sinaloa,5952270.0,112.5,2.0,2.0,23.2899881,-106.4707722,easybroker,2024-09-02 12:27:21.140990,mazatlan,52909.066666666666
departamento en venta en mazatlan sinaloa,5428470.0,102.6,2.0,2.0,23.2899881,-106.4707722,easybroker,2024-09-02 12:27:21.140990,mazatlan,52909.06432748539
departamento en venta en mazatlan sinaloa,5364980.0,101.4,2.0,2.0,23.2899881,-106.4707722,easybroker,2024-09-02 12:27:21.140990,mazatlan,52909.072978303746
guayacanes residencial,597600.0,144.0,,,23.2466985,-106.3887993,easybroker,2024-09-02 12:27:21.140990,mazatlan,4150.0
punto reforma,1424300.0,,2.0,2.0,23.2113445,-106.4194929,easybroker,2024-09-02 12:27:21.140990,mazatlan,
