oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
departamento en renta en ferrocarrilera,2,2,101.0,23.2170844,-106.4198522,2024-09-04 11:28:07.772966,lamudi,20000.0,198.01980198019803
departamento en renta en telleria,2,2,,23.2356921,-106.4395948,2024-09-04 11:28:07.772966,lamudi,4800.0,
casa en renta en mazatlan,3,4,,23.30515406,-106.49024831,2024-09-04 11:28:07.772966,lamudi,50000.0,
departamento en renta en villas de rueda,2,2,,23.2859232,-106.4723657,2024-09-04 11:28:07.772966,lamudi,45000.0,
casa en renta en real del valle,3,3,,23.2863833,-106.4302811,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en cerritos resort,2,2,,23.276905,-106.4674987,2024-09-04 11:28:07.772966,lamudi,6000.0,
departamento en renta en royal country,2,2,,23.2915963,-106.4726129,2024-09-04 11:28:07.772966,lamudi,13000.0,
departamento en renta en zona dorada,2,2,,23.2454638,-106.4543865,2024-09-04 11:28:07.772966,lamudi,45000.0,
departamento en renta en telleria,2,2,108.0,23.2331775,-106.4359209,2024-09-04 11:28:07.772966,lamudi,28000.0,259.25925925925924
departamento en renta en sabalo cerritos,3,3,,23.29915437,-106.48150485,2024-09-04 11:28:07.772966,lamudi,50000.0,
departamento en renta en zona dorada,3,3,,23.2429238,-106.4533857,2024-09-04 11:28:07.772966,lamudi,55000.0,
casa en renta en club real,3,3,,23.2693983,-106.4472128,2024-09-04 11:28:07.772966,lamudi,35000.0,
loft en renta en playa sur,1,1,40.0,23.1919551,-106.4214477,2024-09-04 11:28:07.772966,lamudi,8000.0,200.0
departamento en renta en marina mazatlan,3,2,,23.2743651,-106.462157,2024-09-04 11:28:07.772966,lamudi,35000.0,
casa en renta en el cid,4,4,,23.2552777,-106.4508938,2024-09-04 11:28:07.772966,lamudi,45000.0,
departamento en renta en sabalo country club,2,2,,23.2644253,-106.4641046,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en sabalo country club,2,2,,23.2626843,-106.4626734,2024-09-04 11:28:07.772966,lamudi,14000.0,
departamento en renta en ciudad de mazatlan,2,2,,23.2604548,-106.4651278,2024-09-04 11:28:07.772966,lamudi,28000.0,
departamento en renta en el dorado,2,2,,23.2514289,-106.4531024,2024-09-04 11:28:07.772966,lamudi,19000.0,
departamento en renta en centro,2,2,,23.1962253,-106.4225304,2024-09-04 11:28:07.772966,lamudi,14000.0,
departamento en renta en sabalo cerritos,2,2,,23.2884934,-106.46703,2024-09-04 11:28:07.772966,lamudi,16000.0,
departamento en renta en ferrocarrilera,2,2,,23.218139,-106.4187348,2024-09-04 11:28:07.772966,lamudi,12000.0,
departamento en renta en marina mazatlan,2,2,,23.271669,-106.459728,2024-09-04 11:28:07.772966,lamudi,22000.0,
casa en renta en el cid,4,4,,23.252899,-106.456136,2024-09-04 11:28:07.772966,lamudi,65000.0,
casa en renta en sabalo cerritos,3,2,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,35000.0,
departamento en renta en ciudad de mazatlan,3,3,,23.286446,-106.454914,2024-09-04 11:28:07.772966,lamudi,45000.0,
departamento en renta en sabalo country club,1,1,,23.264531,-106.459783,2024-09-04 11:28:07.772966,lamudi,15000.0,
casa en renta en cerritos resort,3,2,,23.308383,-106.476481,2024-09-04 11:28:07.772966,lamudi,30000.0,
departamento en renta en marina mazatlan,3,3,,23.271669,-106.459728,2024-09-04 11:28:07.772966,lamudi,35000.0,
casa en renta en sabalo cerritos,3,1,,23.282481,-106.468356,2024-09-04 11:28:07.772966,lamudi,23000.0,
departamento en renta en las gaviotas,2,2,,23.248586,-106.452425,2024-09-04 11:28:07.772966,lamudi,22000.0,
casa en renta en sabalo cerritos,4,3,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,30000.0,
casa en renta en cerritos resort,3,3,,23.306418,-106.477959,2024-09-04 11:28:07.772966,lamudi,25000.0,
casa en renta en real del valle,2,2,,23.2863833,-106.4302811,2024-09-04 11:28:07.772966,lamudi,11500.0,
casa en renta en sabalo cerritos,3,2,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,23000.0,
casa en renta en club real,4,4,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,45000.0,
departamento en renta en sabalo country club,2,2,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,15000.0,
casa en renta en cerritos resort,2,2,,23.299078,-106.483657,2024-09-04 11:28:07.772966,lamudi,27000.0,
departamento en renta en el dorado,1,1,,23.251394,-106.455192,2024-09-04 11:28:07.772966,lamudi,15000.0,
departamento en renta en marina mazatlan,3,3,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,29000.0,
departamento en renta en sabalo country club,2,2,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,17000.0,
departamento en renta en sabalo country club,2,2,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,18000.0,
casa en renta en cerritos resort,3,3,,23.306418,-106.477959,2024-09-04 11:28:07.772966,lamudi,18000.0,
departamento en renta en las gaviotas,2,2,,23.247252,-106.45163,2024-09-04 11:28:07.772966,lamudi,28500.0,
departamento en renta en lomas de mazatlan,2,2,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,17500.0,
departamento en renta en marina mazatlan,2,2,,23.274163,-106.462123,2024-09-04 11:28:07.772966,lamudi,18000.0,
departamento en renta en marina mazatlan,2,2,,23.26795,-106.452844,2024-09-04 11:28:07.772966,lamudi,25000.0,
departamento en renta en el dorado,2,2,,23.251162,-106.453975,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en ciudad de mazatlan,2,2,,23.275335,-106.457332,2024-09-04 11:28:07.772966,lamudi,25000.0,
