oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
casa en renta en lomas de mazatlan cerca de zona dorada y av rafael buelna.,19500.0,,3.0,3.0,23.2445431,-106.4443643,easybroker,2024-09-04 11:20:59.743440,mazatlan,
venta casa en col juarez ubicacion excelente para negocio y vivir,2000.0,32.0,,,23.2310997,-106.4067262,easybroker,2024-09-04 11:20:59.743440,mazatlan,62.5
departamento en renta gavias grand con vista a playa,40000.0,130.0,3.0,3.0,23.2991545,-106.4815048,easybroker,2024-09-04 11:20:59.743440,mazatlan,307.6923076923077
pais sabalo 6701,14500.0,104.19,2.0,2.0,23.2652082,-106.4606805,easybroker,2024-09-04 11:20:59.743440,mazatlan,139.16882618293502
amplio y hermoso departamento en renta en las gaviotas a 4 cuadras de la playa,18000.0,,2.0,2.0,23.248916985,-106.4505940842,easybroker,2024-09-04 11:20:59.743440,mazatlan,
se renta casa en 5a gaviotas mazatlan,35000.0,154.0,2.0,3.0,23.2455965,-106.4511701,easybroker,2024-09-04 11:20:59.743440,mazatlan,227.27272727272728
amplio y hermoso departamento en renta en las gaviotas a 4 cuadras de la playa,14000.0,,,,23.2489071274,-106.4505724861,easybroker,2024-09-04 11:20:59.743440,mazatlan,
hermoso departamento en gaviotas golden en mazatlan sinaloa,20000.0,,,,23.2484832481,-106.4517098711,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en renta anual coto privado en  almar zona cerritos a 5 minutos de playa,25000.0,,3.0,3.0,23.2973247,-106.4754948,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa lola tu hogar en el centro de mazatlan,18000.0,,2.0,2.0,23.2014331,-106.4169506,easybroker,2024-09-04 11:20:59.743440,mazatlan,
loft 603 y w tower cerritos mazatlan,25000.0,50.0,,,23.3041083391,-106.490414131,easybroker,2024-09-04 11:20:59.743440,mazatlan,500.0
ferrara mazatlan 1004 torre central muy cerca del mar,25000.0,70.0,2.0,2.0,23.2658809048,-106.4607273213,easybroker,2024-09-04 11:20:59.743440,mazatlan,357.14285714285717
ambar 411 muy cerca del mar en cerritos mazatlan,22000.0,70.0,2.0,2.0,23.28701,-106.4702315,easybroker,2024-09-04 11:20:59.743440,mazatlan,314.2857142857143
almarena coral 201 en mazatlan,22000.0,65.0,2.0,2.0,23.2998121192,-106.4799217238,easybroker,2024-09-04 11:20:59.743440,mazatlan,338.46153846153845
departamento en renta en punta marina,45000.0,180.0,3.0,3.0,23.2719424443,-106.4550303084,easybroker,2024-09-04 11:20:59.743440,mazatlan,250.0
departamento en renta en planta baja amueblado en gaviotas,17000.0,,,2.0,23.2467778599,-106.4503957166,easybroker,2024-09-04 11:20:59.743440,mazatlan,
