oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
casa en venta en marina mazatlan,3,3,180.0,23.2792728,-106.4402785,2024-09-02 13:00:56.917298,lamudi,4200000.0,23333.333333333332
departamento en venta en sabalo country club,2,1,53.0,23.2610678,-106.46168635,2024-09-02 13:00:56.917298,lamudi,2335800.0,44071.698113207545
villa en venta en marina real,3,3,194.0,23.2888392,-106.459081,2024-09-02 13:00:56.917298,lamudi,6991200.0,36037.113402061856
casa en venta en playas infonavit,3,2,,23.25564702,-106.42239,2024-09-02 13:00:56.917298,lamudi,2000000.0,
departamento en venta en playa sur,2,2,77.0,23.1919551,-106.4214477,2024-09-02 13:00:56.917298,lamudi,2900000.0,37662.33766233766
casa en fraccionamiento en venta en real del valle,3,2,215.0,23.2879473,-106.424915,2024-09-02 13:00:56.917298,lamudi,4750000.0,22093.023255813954
casa en venta en sabalo cerritos,3,3,122.0,23.287671,-106.467829,2024-09-02 13:00:56.917298,lamudi,4500000.0,36885.24590163935
casa en venta en marina mazatlan,4,4,300.0,23.277441,-106.452278,2024-09-02 13:00:56.917298,lamudi,9600000.0,32000.0
casa en venta en mazatlan,3,3,220.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,6350000.0,28863.636363636364
casa en venta en ciudad de mazatlan,3,2,125.0,23.297928,-106.430044,2024-09-02 13:00:56.917298,lamudi,3709000.0,29672.0
casa en venta en mazatlan,4,3,220.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,5280000.0,24000.0
casa en venta en sabalo cerritos,3,3,224.0,23.298981,-106.478335,2024-09-02 13:00:56.917298,lamudi,8000000.0,35714.28571428572
casa en venta en mazatlan,4,3,223.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,4750000.0,21300.448430493274
casa en venta en sabalo cerritos,3,3,132.0,23.287671,-106.467829,2024-09-02 13:00:56.917298,lamudi,4200000.0,31818.18181818182
casa en venta en sabalo cerritos,3,3,285.0,23.305479,-106.478069,2024-09-02 13:00:56.917298,lamudi,7000000.0,24561.40350877193
casa en venta en marina mazatlan,3,3,240.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,6955000.0,28979.166666666668
casa en venta en sabalo cerritos,3,3,270.0,23.298981,-106.478335,2024-09-02 13:00:56.917298,lamudi,7499000.0,27774.074074074073
casa en venta en sabalo cerritos,4,4,300.0,23.305479,-106.478069,2024-09-02 13:00:56.917298,lamudi,7650000.0,25500.0
