oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo
casa en renta en sabalo cerritos,3.0,3.0,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,3.0,3.0,,23.307572,-106.477456,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
departamento en renta en villas de rueda,1.0,1.0,,23.287421,-106.473854,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,154.0,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,26000.0,168.83116883116884,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,3.0,2.0,,23.295924,-106.467888,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,17500.0,,25012,25,012,Mazatlán,renta
casa en renta en el encanto,3.0,2.0,,23.258956,-106.457704,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,1.0,65.0,23.303516,-106.47856,2024-09-04 11:28:07.772966,lamudi,18000.0,276.9230769230769,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,32000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,3.0,,23.252899,-106.456136,2024-09-04 11:28:07.772966,lamudi,50000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,4.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,42000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,3.0,3.0,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,,23.291145,-106.470008,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,2.0,2.0,101.0,23.2170844,-106.4198522,2024-09-04 11:28:07.772966,lamudi,20000.0,198.01980198019805,25012,25,012,Mazatlán,renta
departamento en renta en telleria,2.0,2.0,,23.2356921,-106.4395948,2024-09-04 11:28:07.772966,lamudi,4800.0,,25012,25,012,Mazatlán,renta
casa en renta en mazatlan,3.0,4.0,,23.30515406,-106.49024831,2024-09-04 11:28:07.772966,lamudi,50000.0,,25012,25,012,Mazatlán,renta
departamento en renta en villas de rueda,2.0,2.0,,23.2859232,-106.4723657,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,3.0,,23.2863833,-106.4302811,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en cerritos resort,2.0,2.0,,23.276905,-106.4674987,2024-09-04 11:28:07.772966,lamudi,6000.0,,25012,25,012,Mazatlán,renta
departamento en renta en royal country,2.0,2.0,,23.2915963,-106.4726129,2024-09-04 11:28:07.772966,lamudi,13000.0,,25012,25,012,Mazatlán,renta
departamento en renta en zona dorada,2.0,2.0,,23.2454638,-106.4543865,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
departamento en renta en telleria,2.0,2.0,108.0,23.2331775,-106.4359209,2024-09-04 11:28:07.772966,lamudi,28000.0,259.25925925925924,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,3.0,3.0,,23.29915437,-106.48150485,2024-09-04 11:28:07.772966,lamudi,50000.0,,25012,25,012,Mazatlán,renta
departamento en renta en zona dorada,3.0,3.0,,23.2429238,-106.4533857,2024-09-04 11:28:07.772966,lamudi,55000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,3.0,3.0,,23.2693983,-106.4472128,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
loft en renta en playa sur,1.0,1.0,40.0,23.1919551,-106.4214477,2024-09-04 11:28:07.772966,lamudi,8000.0,200.0,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,2.0,,23.2743651,-106.462157,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,4.0,,23.2552777,-106.4508938,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,,23.2644253,-106.4641046,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,,23.2626843,-106.4626734,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,2.0,2.0,,23.2604548,-106.4651278,2024-09-04 11:28:07.772966,lamudi,28000.0,,25012,25,012,Mazatlán,renta
departamento en renta en el dorado,2.0,2.0,,23.2514289,-106.4531024,2024-09-04 11:28:07.772966,lamudi,19000.0,,25012,25,012,Mazatlán,renta
departamento en renta en centro,2.0,2.0,,23.1962253,-106.4225304,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,,23.2884934,-106.46703,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,2.0,2.0,,23.218139,-106.4187348,2024-09-04 11:28:07.772966,lamudi,12000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.271669,-106.459728,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,4.0,,23.252899,-106.456136,2024-09-04 11:28:07.772966,lamudi,65000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,3.0,3.0,,23.286446,-106.454914,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,1.0,1.0,,23.264531,-106.459783,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,3.0,2.0,,23.308383,-106.476481,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.271669,-106.459728,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,1.0,,23.282481,-106.468356,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,2.0,2.0,,23.248586,-106.452425,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,4.0,3.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,3.0,3.0,,23.306418,-106.477959,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,2.0,2.0,,23.2863833,-106.4302811,2024-09-04 11:28:07.772966,lamudi,11500.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,4.0,4.0,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,2.0,2.0,,23.299078,-106.483657,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
departamento en renta en el dorado,1.0,1.0,,23.251394,-106.455192,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,29000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,17000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,3.0,3.0,,23.306418,-106.477959,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,2.0,2.0,,23.247252,-106.45163,2024-09-04 11:28:07.772966,lamudi,28500.0,,25012,25,012,Mazatlán,renta
departamento en renta en lomas de mazatlan,2.0,2.0,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,17500.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.274163,-106.462123,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.26795,-106.452844,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en el dorado,2.0,2.0,,23.251162,-106.453975,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,2.0,2.0,,23.275335,-106.457332,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
