oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo
casa en renta en mediterraneo club residencial,3.0,3.0,,23.273764,-106.44557,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo country club,3.0,2.0,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo country club,3.0,3.0,,23.259032,-106.462577,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,4.0,4.0,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,3.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,36000.0,,25012,25,012,Mazatlán,renta
casa en renta en mediterraneo club residencial,,2.0,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en renta en ciudad de mazatlan,3.0,2.0,,23.287141,-106.421927,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
casa en renta en marina mazatlan,3.0,3.0,,23.277566,-106.452737,2024-09-04 11:28:07.772966,lamudi,39900.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,4.0,,23.287472,-106.468857,2024-09-04 11:28:07.772966,lamudi,27500.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,3.0,3.0,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
departamento en renta en balcones de loma linda,2.0,2.0,,23.202262,-106.42876,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,4.0,4.0,,23.298981,-106.478335,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,33000.0,,25012,25,012,Mazatlán,renta
casa en renta en ciudad de mazatlan,3.0,3.0,,23.27953,-106.420807,2024-09-04 11:28:07.772966,lamudi,16500.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.297083,-106.476847,2024-09-04 11:28:07.772966,lamudi,17000.0,,25012,25,012,Mazatlán,renta
casa en renta en ciudad de mazatlan,3.0,3.0,,23.312281,-106.425026,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en alameda,3.0,2.0,,23.24116,-106.434335,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.291417,-106.469055,2024-09-04 11:28:07.772966,lamudi,21000.0,,25012,25,012,Mazatlán,renta
casa en renta en royal country,3.0,2.0,,23.291596,-106.472613,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en ciudad de mazatlan,3.0,4.0,,23.277451,-106.452341,2024-09-04 11:28:07.772966,lamudi,38000.0,,25012,25,012,Mazatlán,renta
departamento en renta en centro,2.0,2.0,,23.205346,-106.428325,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.3024,-106.47899,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en real pacifico,2.0,2.0,,23.276505,-106.432468,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en isla residencial,2.0,2.0,154.0,23.243535,-106.420528,2024-09-04 11:28:07.772966,lamudi,23000.0,149.35064935064935,25012,25,012,Mazatlán,renta
casa en renta en ciudad de mazatlan,3.0,2.0,,23.287141,-106.421927,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,2.0,2.0,,23.299078,-106.483657,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,4.0,2.0,,23.306418,-106.477959,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,2.0,2.0,,23.216192,-106.417767,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
departamento en renta en centro,2.0,2.0,120.0,23.205346,-106.428325,2024-09-04 11:28:07.772966,lamudi,33500.0,279.1666666666667,25012,25,012,Mazatlán,renta
casa en renta en marina garden,32.0,2.0,,23.282451,-106.468304,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,1.0,87.0,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,13000.0,149.42528735632183,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,2.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en mediterraneo club residencial,2.0,1.0,,23.272645,-106.445902,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,4.0,4.0,,23.289988,-106.470772,2024-09-04 11:28:07.772966,lamudi,19000.0,,25012,25,012,Mazatlán,renta
casa en renta en quintas del mar,2.0,2.0,,23.295783,-106.480712,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,3.0,3.0,,23.297952,-106.482369,2024-09-04 11:28:07.772966,lamudi,38000.0,,25012,25,012,Mazatlán,renta
casa en renta en marina mazatlan,,,,23.277579,-106.452737,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,2.0,2.0,,23.218056,-106.421943,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en alameda,2.0,2.0,,23.243192,-106.436661,2024-09-04 11:28:07.772966,lamudi,23500.0,,25012,25,012,Mazatlán,renta
departamento en renta en alameda,2.0,2.0,,23.243192,-106.436661,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
departamento en renta en isla residencial,3.0,3.0,,23.243657,-106.42108,2024-09-04 11:28:07.772966,lamudi,32000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.270967,-106.456776,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en alameda,2.0,2.0,,23.243192,-106.436661,2024-09-04 11:28:07.772966,lamudi,21000.0,,25012,25,012,Mazatlán,renta
departamento en renta en centro,2.0,2.0,,23.206288,-106.42274,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo country club,3.0,2.0,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.288163,-106.456836,2024-09-04 11:28:07.772966,lamudi,17000.0,,25012,25,012,Mazatlán,renta
departamento en renta en los pinos,2.0,2.0,,23.206622,-106.427889,2024-09-04 11:28:07.772966,lamudi,26000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,3.0,3.0,127.0,23.290939,-106.470268,2024-09-04 11:28:07.772966,lamudi,21000.0,165.35433070866142,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.297242,-106.478776,2024-09-04 11:28:07.772966,lamudi,42000.0,,25012,25,012,Mazatlán,renta
casa en renta en marina mazatlan,4.0,,,23.277579,-106.452737,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,2.0,2.0,,23.275335,-106.457332,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
departamento en renta en isla residencial,2.0,2.0,,23.243535,-106.420528,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en real del valle,2.0,,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,11500.0,,25012,25,012,Mazatlán,renta
condominio horizontal en renta en marina mazatlan,2.0,2.0,68.0,23.287837,-106.443489,2024-09-04 11:28:07.772966,lamudi,20000.0,294.11764705882354,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,4.0,472.0,23.257136,-106.450612,2024-09-04 11:28:07.772966,lamudi,38000.0,80.50847457627118,25012,25,012,Mazatlán,renta
casa en renta en mazatlan,3.0,3.0,135.0,23.296231,-106.434812,2024-09-04 11:28:07.772966,lamudi,25000.0,185.1851851851852,25012,25,012,Mazatlán,renta
casa en renta en el encanto,3.0,2.0,,23.258956,-106.457704,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,4.0,270.0,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,50000.0,185.1851851851852,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,5.0,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,50000.0,,25012,25,012,Mazatlán,renta
departamento en renta en zona dorada,2.0,2.0,95.0,23.245892,-106.454207,2024-09-04 11:28:07.772966,lamudi,31500.0,331.57894736842104,25012,25,012,Mazatlán,renta
departamento en renta en telleria,2.0,2.0,,23.228057,-106.42957,2024-09-04 11:28:07.772966,lamudi,32000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.287664,-106.467773,2024-09-04 11:28:07.772966,lamudi,24500.0,,25012,25,012,Mazatlán,renta
departamento en renta en venadillo,2.0,2.0,,23.289606,-106.442604,2024-09-04 11:28:07.772966,lamudi,24000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,4.0,3.0,,23.291145,-106.470008,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,3.0,2.0,,23.247252,-106.45163,2024-09-04 11:28:07.772966,lamudi,21000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.298981,-106.478335,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,250.0,23.272412,-106.454982,2024-09-04 11:28:07.772966,lamudi,40000.0,160.0,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,,23.282481,-106.468356,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,2.0,,23.271305,-106.453069,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,2.0,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en club real,3.0,2.0,,23.272094,-106.446075,2024-09-04 11:28:07.772966,lamudi,33000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,4.0,4.0,200.0,23.220552,-106.42318,2024-09-04 11:28:07.772966,lamudi,55000.0,275.0,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,1.0,1.0,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,14500.0,,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,2.0,2.0,,23.246281,-106.451998,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
departamento en renta en cerritos resort,2.0,2.0,,23.276905,-106.467499,2024-09-04 11:28:07.772966,lamudi,42000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,,23.291257,-106.474182,2024-09-04 11:28:07.772966,lamudi,46000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo country club,3.0,2.0,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,17000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,3.0,2.0,,23.221856,-106.422892,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,4.0,3.0,190.0,23.286094,-106.425514,2024-09-04 11:28:07.772966,lamudi,23000.0,121.05263157894736,25012,25,012,Mazatlán,renta
casa en renta en mazatlan,2.0,2.0,90.0,23.296231,-106.434812,2024-09-04 11:28:07.772966,lamudi,17000.0,188.88888888888889,25012,25,012,Mazatlán,renta
casa en renta en mediterraneo club residencial,3.0,2.0,162.0,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,27000.0,166.66666666666666,25012,25,012,Mazatlán,renta
casa en renta en mediterraneo club residencial,3.0,2.0,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,24000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,4.0,3.0,,23.286094,-106.425514,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,4.0,3.0,201.0,23.289265,-106.424372,2024-09-04 11:28:07.772966,lamudi,5250000.0,26119.402985074623,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,2.0,,23.261542,-106.446033,2024-09-04 11:28:07.772966,lamudi,38000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,3.0,3.0,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,28000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,28000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,19500.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,3.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,85000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,4.0,3.0,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,4.0,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,4.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,38000.0,,25012,25,012,Mazatlán,renta
casa en renta en balcones de loma linda,3.0,2.0,,23.202262,-106.42876,2024-09-04 11:28:07.772966,lamudi,50000.0,,25012,25,012,Mazatlán,renta
casa en renta en playas infonavit,4.0,4.0,,23.251619,-106.422828,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,2.0,2.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,26500.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,2.0,2.0,,23.286446,-106.454914,2024-09-04 11:28:07.772966,lamudi,19000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,3.0,2.0,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en real del valle,2.0,2.0,,23.275569,-106.42785,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,3.0,2.0,,23.306722,-106.477901,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en real del valle,2.0,1.0,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,13000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,2.0,2.0,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,17500.0,,25012,25,012,Mazatlán,renta
casa en renta en playas infonavit,4.0,3.0,,23.251619,-106.422828,2024-09-04 11:28:07.772966,lamudi,42000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,1.0,,23.275569,-106.42785,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
departamento en renta en genaro estrada calderon,2.0,2.0,,23.26383,-106.368787,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en pradera dorada,4.0,4.0,,23.270198,-106.368031,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,4.0,4.0,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,48000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,2.0,2.0,,23.286446,-106.454914,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
departamento en renta en villa galaxia,3.0,3.0,,23.240507,-106.414831,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en mediterraneo club residencial,3.0,3.0,,23.273764,-106.44557,2024-09-04 11:28:07.772966,lamudi,19000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.294649,-106.419532,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
casa en renta en real pacifico,4.0,3.0,,23.273602,-106.434124,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
casa en renta en santa virginia,3.0,3.0,,23.238552,-106.421492,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
departamento en renta en lomas de mazatlan,2.0,2.0,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en lomas de mazatlan,1.0,1.0,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
departamento en renta en federico velarde,2.0,2.0,,23.249415,-106.411142,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.271305,-106.453069,2024-09-04 11:28:07.772966,lamudi,21500.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.283969,-106.444781,2024-09-04 11:28:07.772966,lamudi,17500.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,2.0,1.0,,23.298067,-106.429527,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,,23.298037,-106.480609,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,,23.307434,-106.474483,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
casa en renta en la joya,3.0,2.0,,23.263536,-106.419879,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,2.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
casa en renta en quinta real,3.0,2.0,,23.258021,-106.421173,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en plaza reforma,3.0,2.0,,23.248141,-106.434882,2024-09-04 11:28:07.772966,lamudi,17000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.307434,-106.474483,2024-09-04 11:28:07.772966,lamudi,18500.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,2.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,24000.0,,25012,25,012,Mazatlán,renta
departamento en renta en los pinos,2.0,2.0,,23.205892,-106.427275,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en renta en paseo alameda,3.0,4.0,,23.265996,-106.426463,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en ciudad de mazatlan,3.0,2.0,,23.287141,-106.421927,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en cerro del vigia,2.0,2.0,,23.18847,-106.425206,2024-09-04 11:28:07.772966,lamudi,24000.0,,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,1.0,1.0,,23.248586,-106.452425,2024-09-04 11:28:07.772966,lamudi,12000.0,,25012,25,012,Mazatlán,renta
departamento en renta en reforma,2.0,2.0,,23.213457,-106.420758,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en villas de rueda,3.0,4.0,,23.287421,-106.473854,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
casa en renta en centro,4.0,3.0,,23.203197,-106.420835,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en los pinos,2.0,2.0,,23.205892,-106.427275,2024-09-04 11:28:07.772966,lamudi,21000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.297321,-106.477756,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,3.0,2.0,,23.217779,-106.419987,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,4.0,3.0,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
casa en renta en playa sur,3.0,2.0,,23.188578,-106.419261,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en mediterraneo club residencial,3.0,2.0,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
casa en renta en real pacifico,2.0,1.0,,23.275943,-106.433234,2024-09-04 11:28:07.772966,lamudi,11500.0,,25012,25,012,Mazatlán,renta
casa en renta en lomas de mazatlan,3.0,2.0,,23.245537,-106.446151,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,2.0,2.0,,23.221659,-106.420712,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en casa blanca,2.0,2.0,,23.235549,-106.42972,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en real pacifico,2.0,1.0,,23.275943,-106.433234,2024-09-04 11:28:07.772966,lamudi,12000.0,,25012,25,012,Mazatlán,renta
casa en renta en el dorado,3.0,2.0,,23.251314,-106.453393,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del mar,4.0,3.0,,23.290961,-106.476847,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en las gaviotas,2.0,2.0,,23.248586,-106.452425,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.294649,-106.419532,2024-09-04 11:28:07.772966,lamudi,13000.0,,25012,25,012,Mazatlán,renta
casa en renta en royal country,3.0,2.0,,23.291596,-106.472613,2024-09-04 11:28:07.772966,lamudi,13000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,2.0,2.0,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en lomas del bosque,3.0,2.0,,23.256412,-106.416663,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en lomas de mazatlan,4.0,3.0,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en el dorado,3.0,2.0,,23.251429,-106.453102,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,1.0,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,2.0,1.0,,23.246281,-106.451998,2024-09-04 11:28:07.772966,lamudi,12000.0,,25012,25,012,Mazatlán,renta
departamento en renta en lomas de mazatlan,2.0,1.0,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,2.0,2.0,,23.291322,-106.474221,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,3.0,2.0,,23.223787,-106.421929,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.275569,-106.42785,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,2.0,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
departamento en renta en el toreo,2.0,2.0,,23.24867,-106.438379,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
departamento en renta en el toreo,2.0,2.0,,23.24867,-106.438379,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en cerritos resort,3.0,3.0,,23.306418,-106.477959,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en flamingos,3.0,2.0,,23.236145,-106.437274,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en centro,2.0,2.0,,23.197344,-106.423765,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en plaza reforma,3.0,2.0,,23.248141,-106.434882,2024-09-04 11:28:07.772966,lamudi,15000.0,,25012,25,012,Mazatlán,renta
casa en renta en hacienda los mangos,3.0,3.0,,23.263257,-106.426969,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
casa en renta en ciudad de mazatlan,3.0,2.0,,23.287141,-106.421927,2024-09-04 11:28:07.772966,lamudi,17000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,4.0,3.0,,23.275569,-106.42785,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,2.0,1.0,,23.275569,-106.42785,2024-09-04 11:28:07.772966,lamudi,12000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,1.0,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,12000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.294649,-106.419532,2024-09-04 11:28:07.772966,lamudi,12000.0,,25012,25,012,Mazatlán,renta
casa en renta en las gaviotas,3.0,2.0,,23.245244,-106.45164,2024-09-04 11:28:07.772966,lamudi,32000.0,,25012,25,012,Mazatlán,renta
departamento en renta en real del valle,2.0,2.0,71.0,23.282649,-106.428552,2024-09-04 11:28:07.772966,lamudi,12500.0,176.05633802816902,25012,25,012,Mazatlán,renta
