oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun
departamento en venta en telleria,2.0,1.0,140.0,23.229183,-106.429053,2024-09-02 13:00:56.917298,lamudi,8430517.0,60217.97857142857,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,1.0,140.0,23.229183,-106.429053,2024-09-02 13:00:56.917298,lamudi,8684359.0,62031.13571428572,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,1.0,123.0,23.231183,-106.427053,2024-09-02 13:00:56.917298,lamudi,8553121.0,69537.56910569106,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,1.0,123.0,23.229183,-106.429053,2024-09-02 13:00:56.917298,lamudi,8680936.0,70576.71544715448,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,1.0,132.0,23.229183,-106.429053,2024-09-02 13:00:56.917298,lamudi,9334617.0,70716.79545454546,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,1.0,140.0,23.229183,-106.429053,2024-09-02 13:00:56.917298,lamudi,8306403.0,59331.45,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,1.0,123.0,23.229183,-106.429053,2024-09-02 13:00:56.917298,lamudi,8180898.0,66511.36585365854,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,1.0,1.0,44.0,23.3312156,-106.4829912,2024-09-02 13:00:56.917298,lamudi,3506119.0,79684.52272727272,25012,25,012,Mazatlán
departamento en venta en playa sur,2.0,2.0,73.0,23.1919551,-106.4214477,2024-09-02 13:00:56.917298,lamudi,3199000.0,43821.91780821918,25012,25,012,Mazatlán
departamento en venta en zona dorada,3.0,3.0,158.0,23.244395,-106.454032,2024-09-02 13:00:56.917298,lamudi,10500000.0,66455.69620253165,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,1.0,1.0,47.0,23.3312156,-106.4829912,2024-09-02 13:00:56.917298,lamudi,3180000.0,67659.5744680851,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,123.0,23.225907,-106.425025,2024-09-02 13:00:56.917298,lamudi,8190000.0,66585.36585365854,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,2.0,63.0,23.25875631,-106.45964023,2024-09-02 13:00:56.917298,lamudi,2650000.0,42063.49206349206,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,69.0,23.287671,-106.467829,2024-09-02 13:00:56.917298,lamudi,3950000.0,57246.3768115942,25012,25,012,Mazatlán
departamento en venta en casa blanca,2.0,2.0,122.0,23.235549,-106.42972,2024-09-02 13:00:56.917298,lamudi,4589000.0,37614.75409836065,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,69.0,23.2928451,-106.4371765,2024-09-02 13:00:56.917298,lamudi,2371764.0,34373.391304347824,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,4.0,3.0,274.0,23.3054792,-106.4780693,2024-09-02 13:00:56.917298,lamudi,6100000.0,22262.77372262774,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,3.0,4.0,327.0,23.3056571,-106.4744846,2024-09-02 13:00:56.917298,lamudi,7490000.0,22905.19877675841,25012,25,012,Mazatlán
departamento en venta en centro,2.0,2.0,86.0,23.196582,-106.423713,2024-09-02 13:00:56.917298,lamudi,2800000.0,32558.13953488372,25012,25,012,Mazatlán
departamento en venta en sabalo country club,3.0,3.0,126.0,23.2620868,-106.4618827,2024-09-02 13:00:56.917298,lamudi,3950000.0,31349.20634920635,25012,25,012,Mazatlán
departamento en venta en zona dorada,3.0,2.0,182.0,23.2454638,-106.4543865,2024-09-02 13:00:56.917298,lamudi,13795000.0,75796.7032967033,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,3.0,161.0,23.269446,-106.452461,2024-09-02 13:00:56.917298,lamudi,4950000.0,30745.341614906836,25012,25,012,Mazatlán
casa en venta en real del valle,4.0,3.0,200.0,23.2980674,-106.429527,2024-09-02 13:00:56.917298,lamudi,4900000.0,24500.0,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,141.0,23.216353,-106.420976,2024-09-02 13:00:56.917298,lamudi,9850000.0,69858.1560283688,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,1.0,68.0,23.2876641,-106.4677728,2024-09-02 13:00:56.917298,lamudi,3500000.0,51470.58823529412,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,1.0,1.0,92.0,23.218102,-106.419811,2024-09-02 13:00:56.917298,lamudi,7200000.0,78260.86956521739,25012,25,012,Mazatlán
departamento en venta en telleria,3.0,2.0,163.0,23.2322273,-106.43442,2024-09-02 13:00:56.917298,lamudi,7600000.0,46625.76687116565,25012,25,012,Mazatlán
departamento en venta en zona dorada,1.0,1.0,71.0,23.2458924,-106.4542067,2024-09-02 13:00:56.917298,lamudi,6650000.0,93661.97183098592,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,4.0,232.0,23.29806739999999,-106.429527,2024-09-02 13:00:56.917298,lamudi,6450000.0,27801.72413793104,25012,25,012,Mazatlán
departamento en venta en las gaviotas,2.0,2.0,70.0,23.247252,-106.45163,2024-09-02 13:00:56.917298,lamudi,2990000.0,42714.28571428572,25012,25,012,Mazatlán
departamento en venta en el cid,4.0,5.0,564.0,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,14400000.0,25531.91489361702,25012,25,012,Mazatlán
casa en fraccionamiento en venta en sabalo cerritos,3.0,2.0,193.0,23.3054792,-106.4780693,2024-09-02 13:00:56.917298,lamudi,5895000.0,30544.041450777204,25012,25,012,Mazatlán
departamento en venta en el conchi infonavit,2.0,1.0,,23.246699,-106.388799,2024-09-02 13:00:56.917298,lamudi,2890000.0,,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,2.0,163.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,3750000.0,23006.134969325158,25012,25,012,Mazatlán
casa en venta en el cid,4.0,,,23.25373095812981,-106.44769339941404,2024-09-02 13:00:56.917298,lamudi,19500000.0,,25012,25,012,Mazatlán
casa en venta en el cid,3.0,4.0,,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,13600000.0,,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,2.0,2.0,106.0,23.320523,-106.478302,2024-09-02 13:00:56.917298,lamudi,6020750.0,56799.52830188679,25012,25,012,Mazatlán
casa en venta en ciudad de mazatlan,4.0,3.0,144.0,23.2968393,-106.4306338,2024-09-02 13:00:56.917298,lamudi,4400000.0,30555.555555555555,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,,23.3048952,-106.4855562,2024-09-02 13:00:56.917298,lamudi,3990000.0,,25012,25,012,Mazatlán
casa en venta en el cid,3.0,4.0,356.0,23.250517,-106.446016,2024-09-02 13:00:56.917298,lamudi,10700000.0,30056.1797752809,25012,25,012,Mazatlán
departamento en venta en los pinos,1.0,1.0,66.0,23.2066219,-106.4278887,2024-09-02 13:00:56.917298,lamudi,2290000.0,34696.969696969696,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,61.0,23.3048952,-106.4855562,2024-09-02 13:00:56.917298,lamudi,3660000.0,60000.0,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,,,94.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,2700000.0,28723.40425531915,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,3.0,3.0,200.0,23.25772,-106.462369,2024-09-02 13:00:56.917298,lamudi,12175769.999999998,60878.84999999999,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,1.0,1.0,74.0,23.261506,-106.465872,2024-09-02 13:00:56.917298,lamudi,4355560.0,58858.91891891892,25012,25,012,Mazatlán
departamento en venta en lomas de mazatlan,3.0,3.0,,23.2443491,-106.4450042,2024-09-02 13:00:56.917298,lamudi,3500000.0,,25012,25,012,Mazatlán
casa en venta en lomas de mazatlan,5.0,3.0,325.0,23.249383,-106.442442,2024-09-02 13:00:56.917298,lamudi,4950000.0,15230.76923076923,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,87.0,23.3048952,-106.4855562,2024-09-02 13:00:56.917298,lamudi,2822000.0,32436.7816091954,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,1.0,1.0,84.0,23.218161,-106.421916,2024-09-02 13:00:56.917298,lamudi,6930000.0,82500.0,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,67.0,23.280915,-106.46853,2024-09-02 13:00:56.917298,lamudi,4103200.0,61241.79104477612,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,1.0,79.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,3790000.0,47974.6835443038,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,143.0,23.231974,-106.434799,2024-09-02 13:00:56.917298,lamudi,8750000.0,61188.81118881119,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,99.0,23.228899,-106.427337,2024-09-02 13:00:56.917298,lamudi,8060473.0,81418.9191919192,25012,25,012,Mazatlán
departamento en venta en palmillas,2.0,2.0,80.0,23.281731,-106.463579,2024-09-02 13:00:56.917298,lamudi,4200000.0,52500.0,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,4.0,4.0,140.0,23.287671,-106.467829,2024-09-02 13:00:56.917298,lamudi,6300000.0,45000.0,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,3.0,3.0,137.0,23.299155,-106.481505,2024-09-02 13:00:56.917298,lamudi,9061856.0,66144.93430656934,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,2.0,70.0,23.26358,-106.462567,2024-09-02 13:00:56.917298,lamudi,2759972.0,39428.17142857143,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,1.0,1.0,62.0,23.286854,-106.457713,2024-09-02 13:00:56.917298,lamudi,3384300.0,54585.48387096774,25012,25,012,Mazatlán
casa en venta en club real,3.0,5.0,389.0,23.269398,-106.447213,2024-09-02 13:00:56.917298,lamudi,10500000.0,26992.28791773779,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,4.0,4.0,270.0,23.298981,-106.478335,2024-09-02 13:00:56.917298,lamudi,7500000.0,27777.777777777777,25012,25,012,Mazatlán
casa en venta en el cid,3.0,4.0,356.0,23.255278,-106.450894,2024-09-02 13:00:56.917298,lamudi,10500000.0,29494.38202247191,25012,25,012,Mazatlán
departamento en venta en telleria,1.0,1.0,99.0,23.231974,-106.434799,2024-09-02 13:00:56.917298,lamudi,7350000.0,74242.42424242424,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,2.0,109.0,23.26358,-106.462567,2024-09-02 13:00:56.917298,lamudi,3846455.0,35288.577981651375,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,170.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,12025000.0,70735.29411764706,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,2.0,86.0,23.26358,-106.462567,2024-09-02 13:00:56.917298,lamudi,3323191.0,38641.75581395349,25012,25,012,Mazatlán
casa en venta en ferrocarrilera,4.0,3.0,313.0,23.216192,-106.417767,2024-09-02 13:00:56.917298,lamudi,7900000.0,25239.61661341853,25012,25,012,Mazatlán
casa en venta en club real,3.0,3.0,158.0,23.269398,-106.447213,2024-09-02 13:00:56.917298,lamudi,4400000.0,27848.101265822785,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,4.0,3.0,275.0,23.305479,-106.478069,2024-09-02 13:00:56.917298,lamudi,6300000.0,22909.090909090908,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,107.0,23.229867,-106.431999,2024-09-02 13:00:56.917298,lamudi,9061698.0,84688.7663551402,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,149.0,23.286854,-106.457713,2024-09-02 13:00:56.917298,lamudi,6807888.0,45690.523489932886,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,112.0,23.229867,-106.431999,2024-09-02 13:00:56.917298,lamudi,6822712.0,60917.07142857143,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,77.0,23.221986,-106.42189,2024-09-02 13:00:56.917298,lamudi,3092580.0,40163.37662337662,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,76.0,23.30911,-106.474441,2024-09-02 13:00:56.917298,lamudi,2481000.0,32644.736842105263,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,3.0,194.0,23.285833,-106.459276,2024-09-02 13:00:56.917298,lamudi,6991200.0,36037.113402061856,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,1.0,56.0,23.220832,-106.419565,2024-09-02 13:00:56.917298,lamudi,2415000.0,43125.0,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,161.0,23.285833,-106.459276,2024-09-02 13:00:56.917298,lamudi,6611250.0,41063.664596273295,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,117.0,23.285833,-106.459276,2024-09-02 13:00:56.917298,lamudi,5280000.0,45128.205128205125,25012,25,012,Mazatlán
departamento en venta en las gaviotas,2.0,2.0,78.0,23.247252,-106.45163,2024-09-02 13:00:56.917298,lamudi,3843000.0,49269.230769230766,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,138.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,3790000.0,27463.768115942028,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,3.0,2.0,108.0,23.279077,-106.421645,2024-09-02 13:00:56.917298,lamudi,3350000.0,31018.51851851852,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,103.0,23.272096,-106.455478,2024-09-02 13:00:56.917298,lamudi,4521240.0,43895.53398058253,25012,25,012,Mazatlán
departamento en venta en el encanto,2.0,2.0,117.0,23.259705,-106.458352,2024-09-02 13:00:56.917298,lamudi,3800000.0,32478.63247863248,25012,25,012,Mazatlán
departamento en venta en el cid,2.0,2.0,123.0,23.261515,-106.456406,2024-09-02 13:00:56.917298,lamudi,4450000.0,36178.86178861788,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,3.0,2.0,69.0,23.221542,-106.423625,2024-09-02 13:00:56.917298,lamudi,4498000.0,65188.40579710145,25012,25,012,Mazatlán
departamento en venta en telleria,1.0,1.0,95.0,23.230511,-106.432796,2024-09-02 13:00:56.917298,lamudi,5886733.0,61965.61052631579,25012,25,012,Mazatlán
departamento en venta en telleria,1.0,1.0,65.0,23.230511,-106.432796,2024-09-02 13:00:56.917298,lamudi,3309293.0,50912.2,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,67.0,23.221542,-106.423625,2024-09-02 13:00:56.917298,lamudi,4596800.0,68608.95522388059,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,1.0,1.0,46.0,23.221542,-106.423625,2024-09-02 13:00:56.917298,lamudi,3268800.0,71060.86956521739,25012,25,012,Mazatlán
departamento en venta en telleria,4.0,4.0,231.0,23.230511,-106.432796,2024-09-02 13:00:56.917298,lamudi,11969642.0,51816.63203463204,25012,25,012,Mazatlán
departamento en venta en balcones de loma linda,1.0,1.0,54.0,23.202653,-106.427597,2024-09-02 13:00:56.917298,lamudi,3340000.0,61851.851851851854,25012,25,012,Mazatlán
departamento en venta en telleria,1.0,1.0,75.0,23.230511,-106.432796,2024-09-02 13:00:56.917298,lamudi,4439429.0,59192.386666666665,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,135.0,23.222208,-106.421701,2024-09-02 13:00:56.917298,lamudi,3487024.0,25829.807407407407,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,75.0,23.3048952,-106.4855562,2024-09-02 13:00:56.917298,lamudi,3666000.0,48880.0,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,1.0,66.0,23.220832,-106.419565,2024-09-02 13:00:56.917298,lamudi,2860000.0,43333.333333333336,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,1.0,60.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,2505000.0,41750.0,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,3.0,3.0,122.0,23.299155,-106.481505,2024-09-02 13:00:56.917298,lamudi,6590700.0,54022.13114754098,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,95.0,23.299155,-106.481505,2024-09-02 13:00:56.917298,lamudi,4388400.0,46193.68421052631,25012,25,012,Mazatlán
casa en venta en marina mazatlan,4.0,6.0,710.0,23.285833,-106.459276,2024-09-02 13:00:56.917298,lamudi,18499000.0,26054.929577464787,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,1.0,58.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,3600000.0,62068.96551724138,25012,25,012,Mazatlán
departamento en venta en reforma,3.0,2.0,93.0,23.211452,-106.419343,2024-09-02 13:00:56.917298,lamudi,3694936.0,39730.49462365591,25012,25,012,Mazatlán
departamento en venta en reforma,2.0,2.0,72.0,23.211452,-106.419343,2024-09-02 13:00:56.917298,lamudi,2860595.0,39730.48611111111,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,88.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,5756336.0,65412.90909090909,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,1.0,1.0,72.0,23.278005,-106.465093,2024-09-02 13:00:56.917298,lamudi,3104496.0,43118.0,25012,25,012,Mazatlán
departamento en venta en telleria,3.0,3.0,182.0,23.231974,-106.434799,2024-09-02 13:00:56.917298,lamudi,11950000.0,65659.34065934065,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,65.0,23.231974,-106.434799,2024-09-02 13:00:56.917298,lamudi,3380000.0,52000.0,25012,25,012,Mazatlán
departamento en venta en telleria,1.0,1.0,60.0,23.236972,-106.437446,2024-09-02 13:00:56.917298,lamudi,2285166.0,38086.1,25012,25,012,Mazatlán
departamento en venta en el cid,2.0,2.0,127.0,23.263631,-106.453839,2024-09-02 13:00:56.917298,lamudi,6487710.0,51084.330708661415,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,111.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,5899430.0,53148.01801801802,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,128.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,7084000.0,55343.75,25012,25,012,Mazatlán
casa en venta en marina mazatlan,3.0,2.0,311.0,23.281562,-106.462812,2024-09-02 13:00:56.917298,lamudi,20496500.0,65905.14469453377,25012,25,012,Mazatlán
departamento en venta en las palmas,2.0,2.0,110.0,23.255708,-106.459441,2024-09-02 13:00:56.917298,lamudi,8499000.0,77263.63636363637,25012,25,012,Mazatlán
casa en venta en hacienda del seminario,3.0,3.0,124.0,23.291555,-106.42182,2024-09-02 13:00:56.917298,lamudi,3200000.0,25806.451612903227,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,3.0,2.0,71.0,23.291145,-106.470008,2024-09-02 13:00:56.917298,lamudi,3300000.0,46478.873239436616,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,85.0,23.285833,-106.459276,2024-09-02 13:00:56.917298,lamudi,6162500.0,72500.0,25012,25,012,Mazatlán
casa en venta en lomas de mazatlan,4.0,4.0,814.0,23.244349,-106.445004,2024-09-02 13:00:56.917298,lamudi,30900000.0,37960.68796068796,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,3.0,3.0,247.0,23.305479,-106.478069,2024-09-02 13:00:56.917298,lamudi,6950000.0,28137.65182186235,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,3.0,2.0,220.0,23.275325,-106.457339,2024-09-02 13:00:56.917298,lamudi,8790000.0,39954.545454545456,25012,25,012,Mazatlán
departamento en venta en zona dorada,1.0,1.0,40.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,3300000.0,82500.0,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,113.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,6499430.0,57517.0796460177,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,71.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,4199390.0,59146.33802816901,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,94.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,5508730.0,58603.51063829787,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,110.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,5754840.0,52316.72727272727,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,91.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,5699000.0,62626.37362637363,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,128.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,7299000.0,57023.4375,25012,25,012,Mazatlán
departamento en venta en zona dorada,1.0,1.0,43.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,3769850.0,87670.93023255814,25012,25,012,Mazatlán
departamento en venta en zona dorada,1.0,1.0,45.0,23.245892,-106.454207,2024-09-02 13:00:56.917298,lamudi,3296357.0,73252.37777777777,25012,25,012,Mazatlán
casa en venta en marina mazatlan,4.0,5.0,330.0,23.277781,-106.452224,2024-09-02 13:00:56.917298,lamudi,10750000.0,32575.757575757576,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,2.0,105.0,23.265859,-106.461914,2024-09-02 13:00:56.917298,lamudi,6349000.0,60466.66666666666,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,68.0,23.280694,-106.467787,2024-09-02 13:00:56.917298,lamudi,4000000.0,58823.52941176471,25012,25,012,Mazatlán
casa en venta en marina mazatlan,3.0,3.0,148.0,23.2708473,-106.4576718,2024-09-02 13:00:56.917298,lamudi,4216500.0,28489.864864864863,25012,25,012,Mazatlán
departamento en venta en las gaviotas,3.0,2.0,83.0,23.247252,-106.45163,2024-09-02 13:00:56.917298,lamudi,3951000.0,47602.40963855421,25012,25,012,Mazatlán
departamento en venta en las gaviotas,2.0,2.0,68.0,23.247252,-106.45163,2024-09-02 13:00:56.917298,lamudi,3294000.0,48441.17647058824,25012,25,012,Mazatlán
casa en venta en club real,4.0,5.0,389.0,23.269398,-106.447213,2024-09-02 13:00:56.917298,lamudi,11000000.0,28277.634961439588,25012,25,012,Mazatlán
departamento en venta en lomas de mazatlan,2.0,2.0,73.0,23.243656,-106.445305,2024-09-02 13:00:56.917298,lamudi,2950000.0,40410.95890410959,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,230.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,12600000.0,54782.608695652176,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,3.0,325.0,23.278005,-106.465093,2024-09-02 13:00:56.917298,lamudi,11586069.0,35649.443076923075,25012,25,012,Mazatlán
casa en venta en marina mazatlan,3.0,3.0,332.0,23.286854,-106.457713,2024-09-02 13:00:56.917298,lamudi,13264150.0,39952.25903614458,25012,25,012,Mazatlán
departamento en venta en flamingos,2.0,2.0,70.0,23.235281,-106.437406,2024-09-02 13:00:56.917298,lamudi,2969400.0,42420.0,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,80.0,23.278005,-106.465093,2024-09-02 13:00:56.917298,lamudi,3787155.0,47339.4375,25012,25,012,Mazatlán
casa en venta en ciudad de mazatlan,3.0,3.0,133.0,23.287141,-106.421927,2024-09-02 13:00:56.917298,lamudi,3390000.0,25488.72180451128,25012,25,012,Mazatlán
departamento en venta en lopez mateos,2.0,2.0,88.0,23.240152,-106.426651,2024-09-02 13:00:56.917298,lamudi,2250000.0,25568.18181818182,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,86.0,23.28999,-106.472968,2024-09-02 13:00:56.917298,lamudi,3790000.0,44069.76744186047,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,1.0,64.0,23.263114,-106.460845,2024-09-02 13:00:56.917298,lamudi,2665000.0,41640.625,25012,25,012,Mazatlán
departamento en venta en sabalo country club,1.0,1.0,56.0,23.263114,-106.460845,2024-09-02 13:00:56.917298,lamudi,2324528.0,41509.42857142857,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,70.0,23.262551,-106.465377,2024-09-02 13:00:56.917298,lamudi,3450000.0,49285.71428571428,25012,25,012,Mazatlán
casa en venta en real del valle,4.0,3.0,201.0,23.275854,-106.424278,2024-09-02 13:00:56.917298,lamudi,4400000.0,21890.54726368159,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,2.0,225.0,23.287952,-106.424896,2024-09-02 13:00:56.917298,lamudi,4749000.0,21106.666666666668,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,83.0,23.221659,-106.420712,2024-09-02 13:00:56.917298,lamudi,5922627.0,71356.95180722892,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,1.0,124.0,23.320929,-106.479493,2024-09-02 13:00:56.917298,lamudi,6930705.0,55892.78225806452,25012,25,012,Mazatlán
departamento en venta en el cid,3.0,3.0,175.0,23.261189,-106.445675,2024-09-02 13:00:56.917298,lamudi,9024860.0,51570.62857142857,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,86.0,23.288944,-106.472612,2024-09-02 13:00:56.917298,lamudi,4050000.0,47093.023255813954,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,3.0,2.0,110.0,23.288944,-106.472612,2024-09-02 13:00:56.917298,lamudi,4700000.0,42727.27272727273,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,3.0,3.0,213.0,23.299155,-106.481505,2024-09-02 13:00:56.917298,lamudi,9798000.0,46000.0,25012,25,012,Mazatlán
departamento en venta en cerritos resort,3.0,3.0,185.0,23.320929,-106.479493,2024-09-02 13:00:56.917298,lamudi,10560703.0,57084.88108108108,25012,25,012,Mazatlán
departamento en venta en cerritos resort,1.0,1.0,80.0,23.320929,-106.479493,2024-09-02 13:00:56.917298,lamudi,3500000.0,43750.0,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,1.0,1.0,46.0,23.288944,-106.472612,2024-09-02 13:00:56.917298,lamudi,2790000.0,60652.17391304348,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,3.0,181.0,23.283898,-106.432083,2024-09-02 13:00:56.917298,lamudi,3400000.0,18784.53038674033,25012,25,012,Mazatlán
departamento en venta en lomas de mazatlan,2.0,2.0,76.0,23.246382,-106.440936,2024-09-02 13:00:56.917298,lamudi,2857700.0,37601.31578947369,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,107.0,23.278005,-106.465093,2024-09-02 13:00:56.917298,lamudi,4834643.0,45183.57943925234,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,60.0,23.221659,-106.420712,2024-09-02 13:00:56.917298,lamudi,2665041.0,44417.35,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,3.0,3.0,92.0,23.221659,-106.420712,2024-09-02 13:00:56.917298,lamudi,3563810.0,38737.0652173913,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,131.0,23.235538,-106.439243,2024-09-02 13:00:56.917298,lamudi,7900000.0,60305.34351145038,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,110.0,23.220991,-106.422611,2024-09-02 13:00:56.917298,lamudi,4575000.0,41590.90909090909,25012,25,012,Mazatlán
