oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun
departamento en venta en ferrocarrilera,3.0,2.0,118.0,23.22220966,-106.42134055,2024-09-02 13:00:56.917298,lamudi,4000000.0,33898.30508474576,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,1.0,64.0,23.21421235,-106.42029449,2024-09-02 13:00:56.917298,lamudi,2400000.0,37500.0,25012,25,012,Mazatlán
departamento en venta en zona dorada,3.0,2.0,180.0,23.2458117,-106.4536075,2024-09-02 13:00:56.917298,lamudi,13800000.0,76666.66666666667,25012,25,012,Mazatlán
departamento en venta en telleria,3.0,3.0,140.0,23.2368307,-106.4412507,2024-09-02 13:00:56.917298,lamudi,6188000.0,44200.0,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,,23.2190951,-106.4212458,2024-09-02 13:00:56.917298,lamudi,4701505.0,,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,77.0,23.21935773,-106.41963132,2024-09-02 13:00:56.917298,lamudi,3311126.0,43001.63636363636,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,84.0,23.218028,-106.4181576,2024-09-02 13:00:56.917298,lamudi,3166402.0,37695.26190476191,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,2.0,2.0,87.0,23.33150856,-106.48286607,2024-09-02 13:00:56.917298,lamudi,4296477.0,49384.79310344828,25012,25,012,Mazatlán
departamento en venta en cerritos resort,3.0,2.0,125.0,23.2990776,-106.4836574,2024-09-02 13:00:56.917298,lamudi,5500000.0,44000.0,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,2.0,125.0,23.2980674,-106.429527,2024-09-02 13:00:56.917298,lamudi,4043000.0,32344.0,25012,25,012,Mazatlán
casa en venta en lopez mateos,5.0,1.0,138.0,23.2383702,-106.4266004,2024-09-02 13:00:56.917298,lamudi,2800000.0,20289.855072463768,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,115.0,23.2736111,-106.4661111,2024-09-02 13:00:56.917298,lamudi,5600000.0,48695.65217391304,25012,25,012,Mazatlán
casa en venta en playas infonavit,3.0,2.0,264.0,23.2516192,-106.4228283,2024-09-02 13:00:56.917298,lamudi,10500000.0,39772.72727272727,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,140.0,23.2429238,-106.4533857,2024-09-02 13:00:56.917298,lamudi,10500000.0,75000.0,25012,25,012,Mazatlán
departamento en venta en zona dorada,3.0,2.0,140.0,23.2429238,-106.4533857,2024-09-02 13:00:56.917298,lamudi,11000000.0,78571.42857142857,25012,25,012,Mazatlán
departamento en venta en zona dorada,3.0,2.0,140.0,23.2429238,-106.4533857,2024-09-02 13:00:56.917298,lamudi,10800000.0,77142.85714285714,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,80.0,23.2161925,-106.41879717,2024-09-02 13:00:56.917298,lamudi,3700000.0,46250.0,25012,25,012,Mazatlán
